Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
GERD,sueño_o_fatiga,temblores,nerviosismo,disminucion_del_libido,memoria_deterioro,contacto_visual_bajo,sudoracion,anhedonia_intereses_sexuales,sueño_o_fatiga,nerviosismo,lenguaje desorganizado,gesticulacion_reducida,anhedonia_intereses_recreativos,sueño_o_fatiga,ideas_delirantes,anhedonia_sociabilidad,paranoia intensa
GERD,ideas_delirantes,alogia_pobreza_contenido,abulia_higiene,alogia_bloqueos_pensamiento,expresion_facial_reducida,disnea,sueño_o_fatiga,anergia_fisica,alogia_pobreza_contenido,eco del pensamiento,alogia_bloqueos_pensamiento,paranoia intensa,paranoia intensa,hipoexpresividad emocional,memoria_deterioro,comportamiento motor desorganizado,alogia_bloqueos_pensamiento
GERD,alogia_bloqueos_pensamiento,alogia_pobreza_habla,obsesiones_presencia,dificultad_de_concetracion,hipervigilancia,procesamiento_info_deficit,temblores,dificultades en teoría de la mente,abulia_trabajo_estudio,ideas_suicidas,dificultades en teoría de la mente,nerviosismo,dificultad_de_concetracion,alogia,pensamientos_intrusivos,obsesiones_presencia,anhedonia_relaciones_familia
GERD,atencion_deterioro,tristeza,contacto_visual_bajo,cambios_en_el_apetito,hipoexpresividad emocional,dificultades en teoría de la mente,hipoexpresividad emocional,alogia_pobreza_contenido,ideas_suicidas,tristeza,memoria_deterioro,alogia,contacto_visual_bajo,alogia,eco del pensamiento,hipervigilancia,temblores
GERD,comportamiento social inadecuado,obsesiones_presencia,catatonía,alogia,alogia_bloqueos_pensamiento,catatonía,catatonía,expresion_facial_reducida,irritabilidad,eco del pensamiento,lenguaje desorganizado,dificultades en teoría de la mente,anhedonia_relaciones_familia,alucinaciones,contacto_visual_bajo,sueño_o_fatiga,abulia_higiene
GERD,abulia,desorganización del pensamiento,abulia,disnea,abulia_trabajo_estudio,anergia_fisica,eco del pensamiento,atencion_deterioro,catatonía,procesamiento_info_deficit,ideas_delirantes,paranoia intensa,abulia_higiene,memoria_deterioro,eco del pensamiento,anhedonia_intereses_sexuales,eco del pensamiento
GERD,pensamientos_intrusivos,alucinaciones,anhedonia_intereses_sexuales,sudoracion,irritabilidad,anhedonia_sociabilidad,dificultades en teoría de la mente,desorganización del pensamiento,abulia_higiene,comportamiento motor desorganizado,disminucion_del_libido,sueño_o_fatiga,ideas_delirantes,anergia_fisica,control_pensamiento,hipervigilancia,contacto_visual_bajo
GERD,anergia_fisica,obsesiones_presencia,eco del pensamiento,comportamiento social inadecuado,alogia,gesticulacion_reducida,atencion_deterioro,taquicardia,abulia_trabajo_estudio,anhedonia_relaciones_familia,hipervigilancia,tristeza,comportamiento motor desorganizado,alogia_bloqueos_pensamiento,preocupacion,anhedonia,anhedonia_sociabilidad
GERD,hipervigilancia,comportamiento social inadecuado,atencion_deterioro,afectividad_inapropiada,taquicardia,memoria_deterioro,disminucion_del_libido,lenguaje desorganizado,anhedonia_intereses_sexuales,preocupacion,anhedonia_sociabilidad,alogia_pobreza_contenido,anhedonia_sociabilidad,anhedonia_sociabilidad,anhedonia_intereses_sexuales,anergia_fisica,catatonía
Chronic Cholestasis,anhedonia_sociabilidad,anhedonia_sociabilidad,anhedonia_intereses_sexuales,cambios_en_el_apetito,dificultad_de_concetracion,anhedonia_intereses_recreativos,irritabilidad,abulia,desorganización del pensamiento,memoria_deterioro,expresion_facial_reducida,comportamiento social inadecuado,taquicardia,eco del pensamiento,desorganización del pensamiento,expresion_facial_reducida,hipervigilancia
Chronic Cholestasis,preocupacion,preocupacion,disminucion_del_libido,sudoracion,anhedonia,comportamiento motor desorganizado,control_pensamiento,afectividad_inapropiada,nerviosismo,nerviosismo,abulia_higiene,hipervigilancia,abulia,disnea,anhedonia_intereses_recreativos,cambios_en_el_apetito,abulia_trabajo_estudio
Chronic Cholestasis,anhedonia_intereses_recreativos,abulia_higiene,comportamiento social inadecuado,sueño_o_fatiga,memoria_deterioro,catatonía,ideas_suicidas,gesticulacion_reducida,taquicardia,tristeza,disminucion_del_libido,control_pensamiento,pensamientos_intrusivos,alucinaciones,anhedonia_relaciones_familia,irritabilidad,memoria_deterioro
Chronic Cholestasis,contacto_visual_bajo,anergia_fisica,catatonía,gesticulacion_reducida,pensamientos_intrusivos,contacto_visual_bajo,anhedonia_intereses_sexuales,disminucion_del_libido,tristeza,hipervigilancia,alogia_bloqueos_pensamiento,alogia_pobreza_contenido,procesamiento_info_deficit,alogia_pobreza_habla,hipoexpresividad emocional,anhedonia_intereses_recreativos,tristeza
Chronic Cholestasis,gesticulacion_reducida,alogia_bloqueos_pensamiento,disminucion_del_libido,catatonía,atencion_deterioro,anhedonia,cambios_en_el_apetito,dificultad_de_concetracion,alucinaciones,eco del pensamiento,ideas_suicidas,irritabilidad,comportamiento motor desorganizado,memoria_deterioro,anergia_fisica,paranoia intensa,anhedonia_relaciones_familia
Chronic Cholestasis,temblores,abulia_trabajo_estudio,preocupacion,expresion_facial_reducida,anhedonia_relaciones_familia,tristeza,taquicardia,anhedonia_intereses_recreativos,sentimiento_de_culpa,afectividad_inapropiada,anhedonia_relaciones_amigos,comportamiento social inadecuado,atencion_deterioro,paranoia intensa,lenguaje desorganizado,preocupacion,temblores
Chronic Cholestasis,pensamientos_intrusivos,anergia_fisica,disnea,irritabilidad,alogia,afectividad_inapropiada,contacto_visual_bajo,ideas_delirantes,alogia,sentimiento_de_culpa,anergia_fisica,abulia_trabajo_estudio,sueño_o_fatiga,alogia_pobreza_habla,control_pensamiento,eco del pensamiento,anhedonia_intereses_sexuales
Chronic Cholestasis,control_pensamiento,taquicardia,anhedonia,alucinaciones,tristeza,abulia_higiene,contacto_visual_bajo,alogia,lenguaje desorganizado,ideas_delirantes,abulia_trabajo_estudio,contacto_visual_bajo,procesamiento_info_deficit,contacto_visual_bajo,abulia,tristeza,obsesiones_presencia
Chronic Cholestasis,cambios_en_el_apetito,sudoracion,dificultad_de_concetracion,sueño_o_fatiga,comportamiento social inadecuado,paranoia intensa,pensamientos_intrusivos,anhedonia_sociabilidad,abulia_higiene,abulia_trabajo_estudio,eco del pensamiento,dificultades en teoría de la mente,tristeza,tristeza,ideas_suicidas,anhedonia_relaciones_familia,tristeza
Chronic Cholestasis,catatonía,memoria_deterioro,comportamiento motor desorganizado,control_pensamiento,anergia_fisica,ideas_delirantes,irritabilidad,alogia_bloqueos_pensamiento,dificultades en teoría de la mente,sudoracion,tristeza,alogia_pobreza_habla,temblores,ideas_delirantes,disminucion_del_libido,procesamiento_info_deficit,eco del pensamiento
Drug Reaction,alogia_bloqueos_pensamiento,memoria_deterioro,ideas_suicidas,cambios_en_el_apetito,taquicardia,anhedonia_relaciones_familia,nerviosismo,abulia_higiene,catatonía,gesticulacion_reducida,obsesiones_presencia,ideas_suicidas,anhedonia,comportamiento social inadecuado,memoria_deterioro,sudoracion,procesamiento_info_deficit
Drug Reaction,comportamiento motor desorganizado,desorganización del pensamiento,procesamiento_info_deficit,pensamientos_intrusivos,anhedonia_relaciones_familia,memoria_deterioro,hipervigilancia,catatonía,pensamientos_intrusivos,anhedonia_intereses_recreativos,cambios_en_el_apetito,expresion_facial_reducida,catatonía,anhedonia_intereses_sexuales,anhedonia_relaciones_amigos,sentimiento_de_culpa,disminucion_del_libido
Drug Reaction,disminucion_del_libido,sentimiento_de_culpa,taquicardia,anhedonia_relaciones_familia,dificultades en teoría de la mente,anhedonia_intereses_sexuales,catatonía,disnea,paranoia intensa,control_pensamiento,sentimiento_de_culpa,expresion_facial_reducida,taquicardia,dificultades en teoría de la mente,catatonía,afectividad_inapropiada,gesticulacion_reducida
Drug Reaction,alogia,sudoracion,hipoexpresividad emocional,nerviosismo,temblores,control_pensamiento,gesticulacion_reducida,alogia_pobreza_habla,hipoexpresividad emocional,anhedonia_intereses_sexuales,hipoexpresividad emocional,abulia,disnea,abulia,anergia_fisica,hipervigilancia,expresion_facial_reducida
Drug Reaction,obsesiones_presencia,preocupacion,sentimiento_de_culpa,hipoexpresividad emocional,procesamiento_info_deficit,paranoia intensa,sueño_o_fatiga,comportamiento motor desorganizado,anhedonia_relaciones_amigos,taquicardia,comportamiento motor desorganizado,obsesiones_presencia,taquicardia,procesamiento_info_deficit,ideas_delirantes,alogia_bloqueos_pensamiento,alogia_bloqueos_pensamiento
Drug Reaction,anergia_fisica,hipervigilancia,anergia_fisica,disnea,control_pensamiento,ideas_delirantes,lenguaje desorganizado,comportamiento social inadecuado,alogia,hipoexpresividad emocional,anhedonia_intereses_recreativos,temblores,anhedonia_sociabilidad,alogia_bloqueos_pensamiento,paranoia intensa,anhedonia,catatonía
Drug Reaction,expresion_facial_reducida,preocupacion,abulia_trabajo_estudio,alogia,sudoracion,anhedonia_relaciones_familia,alogia,sudoracion,expresion_facial_reducida,irritabilidad,sudoracion,procesamiento_info_deficit,comportamiento social inadecuado,cambios_en_el_apetito,irritabilidad,ideas_suicidas,afectividad_inapropiada
Drug Reaction,irritabilidad,disminucion_del_libido,pensamientos_intrusivos,afectividad_inapropiada,disminucion_del_libido,hipervigilancia,alogia_pobreza_habla,anhedonia_relaciones_amigos,eco del pensamiento,abulia,contacto_visual_bajo,alogia,afectividad_inapropiada,desorganización del pensamiento,atencion_deterioro,anhedonia_intereses_recreativos,preocupacion
Drug Reaction,comportamiento motor desorganizado,contacto_visual_bajo,afectividad_inapropiada,afectividad_inapropiada,paranoia intensa,cambios_en_el_apetito,ideas_delirantes,catatonía,preocupacion,anhedonia_relaciones_familia,lenguaje desorganizado,procesamiento_info_deficit,alogia_bloqueos_pensamiento,lenguaje desorganizado,anhedonia_intereses_recreativos,abulia,alogia
Drug Reaction,anhedonia,atencion_deterioro,ideas_delirantes,eco del pensamiento,memoria_deterioro,alogia_pobreza_contenido,control_pensamiento,ideas_delirantes,sueño_o_fatiga,catatonía,anhedonia_sociabilidad,alogia,nerviosismo,memoria_deterioro,dificultades en teoría de la mente,ideas_suicidas,expresion_facial_reducida
Peptic Ulcer Disease,ideas_delirantes,hipervigilancia,hipoexpresividad emocional,alogia_pobreza_contenido,nerviosismo,anhedonia_intereses_sexuales,sudoracion,afectividad_inapropiada,hipoexpresividad emocional,disnea,dificultades en teoría de la mente,dificultad_de_concetracion,abulia,control_pensamiento,sueño_o_fatiga,control_pensamiento,sueño_o_fatiga
Peptic Ulcer Disease,alogia_pobreza_contenido,alogia_bloqueos_pensamiento,anhedonia_relaciones_familia,dificultades en teoría de la mente,anhedonia_intereses_sexuales,afectividad_inapropiada,anergia_fisica,eco del pensamiento,preocupacion,disnea,abulia_higiene,anhedonia_relaciones_familia,anhedonia,dificultades en teoría de la mente,alogia,anhedonia_intereses_recreativos,anhedonia_intereses_sexuales
Peptic Ulcer Disease,anhedonia_intereses_recreativos,comportamiento motor desorganizado,anhedonia_intereses_sexuales,anhedonia_intereses_sexuales,abulia,dificultades en teoría de la mente,sentimiento_de_culpa,irritabilidad,pensamientos_intrusivos,anhedonia,alogia_bloqueos_pensamiento,preocupacion,disminucion_del_libido,desorganización del pensamiento,hipoexpresividad emocional,sentimiento_de_culpa,dificultades en teoría de la mente
Peptic Ulcer Disease,temblores,lenguaje desorganizado,irritabilidad,disnea,alogia_pobreza_contenido,ideas_suicidas,hipervigilancia,comportamiento social inadecuado,atencion_deterioro,anhedonia_relaciones_familia,anhedonia,alogia_pobreza_contenido,hipoexpresividad emocional,abulia_trabajo_estudio,alogia_bloqueos_pensamiento,ideas_delirantes,afectividad_inapropiada
Peptic Ulcer Disease,catatonía,taquicardia,anhedonia_intereses_recreativos,procesamiento_info_deficit,lenguaje desorganizado,abulia,anhedonia_intereses_recreativos,control_pensamiento,irritabilidad,sueño_o_fatiga,taquicardia,sentimiento_de_culpa,preocupacion,alogia_pobreza_contenido,atencion_deterioro,sudoracion,memoria_deterioro
Peptic Ulcer Disease,pensamientos_intrusivos,tristeza,anhedonia_sociabilidad,afectividad_inapropiada,nerviosismo,lenguaje desorganizado,sueño_o_fatiga,alogia_bloqueos_pensamiento,hipoexpresividad emocional,sueño_o_fatiga,control_pensamiento,preocupacion,preocupacion,cambios_en_el_apetito,abulia_higiene,alogia_pobreza_contenido,alogia_pobreza_contenido
Peptic Ulcer Disease,paranoia intensa,disminucion_del_libido,gesticulacion_reducida,preocupacion,hipervigilancia,nerviosismo,anhedonia_intereses_recreativos,expresion_facial_reducida,anergia_fisica,obsesiones_presencia,nerviosismo,dificultades en teoría de la mente,taquicardia,anhedonia_relaciones_familia,alucinaciones,dificultad_de_concetracion,afectividad_inapropiada
Peptic Ulcer Disease,temblores,abulia,anhedonia_relaciones_familia,hipoexpresividad emocional,anhedonia_intereses_sexuales,procesamiento_info_deficit,memoria_deterioro,gesticulacion_reducida,abulia_trabajo_estudio,tristeza,tristeza,control_pensamiento,abulia_higiene,temblores,pensamientos_intrusivos,irritabilidad,sudoracion
Peptic Ulcer Disease,tristeza,ideas_suicidas,dificultad_de_concetracion,pensamientos_intrusivos,preocupacion,anhedonia_relaciones_familia,ideas_suicidas,preocupacion,anhedonia_intereses_sexuales,atencion_deterioro,catatonía,alogia_bloqueos_pensamiento,anhedonia_relaciones_amigos,afectividad_inapropiada,dificultad_de_concetracion,sentimiento_de_culpa,catatonía
Peptic Ulcer Disease,expresion_facial_reducida,desorganización del pensamiento,gesticulacion_reducida,temblores,afectividad_inapropiada,comportamiento social inadecuado,sentimiento_de_culpa,ideas_suicidas,sentimiento_de_culpa,control_pensamiento,anhedonia_sociabilidad,sentimiento_de_culpa,afectividad_inapropiada,hipervigilancia,alogia_bloqueos_pensamiento,paranoia intensa,disminucion_del_libido
AIDS,afectividad_inapropiada,preocupacion,atencion_deterioro,disminucion_del_libido,anhedonia_relaciones_familia,comportamiento social inadecuado,disminucion_del_libido,dificultades en teoría de la mente,lenguaje desorganizado,alogia_pobreza_habla,preocupacion,dificultades en teoría de la mente,anhedonia_sociabilidad,abulia_trabajo_estudio,desorganización del pensamiento,disminucion_del_libido,pensamientos_intrusivos
AIDS,sentimiento_de_culpa,abulia_higiene,alogia_pobreza_contenido,anhedonia_sociabilidad,procesamiento_info_deficit,contacto_visual_bajo,sentimiento_de_culpa,sentimiento_de_culpa,alogia,comportamiento motor desorganizado,atencion_deterioro,catatonía,alogia_pobreza_contenido,alogia,tristeza,anergia_fisica,anhedonia_relaciones_amigos
AIDS,irritabilidad,afectividad_inapropiada,preocupacion,anhedonia,sueño_o_fatiga,anergia_fisica,nerviosismo,dificultades en teoría de la mente,anhedonia_intereses_recreativos,sudoracion,obsesiones_presencia,abulia,catatonía,anhedonia,alogia,gesticulacion_reducida,sueño_o_fatiga
AIDS,dificultad_de_concetracion,comportamiento social inadecuado,comportamiento social inadecuado,anhedonia_intereses_recreativos,cambios_en_el_apetito,abulia,abulia_higiene,afectividad_inapropiada,desorganización del pensamiento,alogia_pobreza_habla,anhedonia,abulia_higiene,obsesiones_presencia,preocupacion,sueño_o_fatiga,anhedonia_relaciones_amigos,dificultad_de_concetracion
AIDS,obsesiones_presencia,abulia_higiene,cambios_en_el_apetito,hipoexpresividad emocional,obsesiones_presencia,anhedonia_sociabilidad,ideas_delirantes,pensamientos_intrusivos,alogia,alogia_pobreza_habla,paranoia intensa,comportamiento social inadecuado,hipervigilancia,catatonía,sentimiento_de_culpa,temblores,ideas_suicidas
AIDS,ideas_delirantes,contacto_visual_bajo,comportamiento motor desorganizado,comportamiento social inadecuado,ideas_delirantes,abulia_trabajo_estudio,dificultades en teoría de la mente,anergia_fisica,cambios_en_el_apetito,anhedonia,alogia_pobreza_contenido,disminucion_del_libido,anhedonia_relaciones_familia,nerviosismo,temblores,procesamiento_info_deficit,irritabilidad
AIDS,lenguaje desorganizado,control_pensamiento,abulia_higiene,pensamientos_intrusivos,comportamiento social inadecuado,comportamiento social inadecuado,lenguaje desorganizado,anhedonia_sociabilidad,catatonía,hipoexpresividad emocional,afectividad_inapropiada,hipoexpresividad emocional,anhedonia_relaciones_amigos,expresion_facial_reducida,anhedonia_intereses_sexuales,obsesiones_presencia,dificultades en teoría de la mente
AIDS,preocupacion,anhedonia_relaciones_amigos,paranoia intensa,anhedonia_intereses_recreativos,tristeza,alogia,paranoia intensa,atencion_deterioro,comportamiento motor desorganizado,abulia,desorganización del pensamiento,dificultad_de_concetracion,anhedonia_relaciones_familia,ideas_suicidas,anhedonia,abulia,memoria_deterioro
AIDS,obsesiones_presencia,abulia,memoria_deterioro,ideas_delirantes,lenguaje desorganizado,taquicardia,gesticulacion_reducida,eco del pensamiento,tristeza,disnea,hipervigilancia,hipoexpresividad emocional,obsesiones_presencia,hipervigilancia,sentimiento_de_culpa,anergia_fisica,anhedonia
AIDS,anhedonia_intereses_sexuales,comportamiento motor desorganizado,disnea,cambios_en_el_apetito,sudoracion,temblores,taquicardia,hipoexpresividad emocional,comportamiento social inadecuado,paranoia intensa,comportamiento motor desorganizado,atencion_deterioro,alogia,ideas_delirantes,sueño_o_fatiga,comportamiento motor desorganizado,disnea
Diabetes ,alogia,anhedonia_intereses_sexuales,expresion_facial_reducida,procesamiento_info_deficit,paranoia intensa,contacto_visual_bajo,anhedonia_intereses_sexuales,alucinaciones,sudoracion,abulia_trabajo_estudio,paranoia intensa,anhedonia_relaciones_familia,alogia_pobreza_contenido,anhedonia_relaciones_amigos,irritabilidad,abulia_higiene,afectividad_inapropiada
Diabetes ,anhedonia,temblores,anhedonia_sociabilidad,abulia_higiene,alogia_bloqueos_pensamiento,obsesiones_presencia,anhedonia_intereses_recreativos,anhedonia_relaciones_familia,dificultad_de_concetracion,anhedonia,catatonía,disnea,dificultad_de_concetracion,hipervigilancia,alogia,disminucion_del_libido,alucinaciones
Diabetes ,pensamientos_intrusivos,cambios_en_el_apetito,anergia_fisica,taquicardia,sudoracion,comportamiento social inadecuado,abulia,atencion_deterioro,pensamientos_intrusivos,disnea,cambios_en_el_apetito,anhedonia_intereses_recreativos,dificultad_de_concetracion,afectividad_inapropiada,anhedonia_intereses_sexuales,irritabilidad,disminucion_del_libido
Diabetes ,procesamiento_info_deficit,abulia_higiene,hipoexpresividad emocional,anhedonia_intereses_sexuales,tristeza,hipervigilancia,procesamiento_info_deficit,alogia_bloqueos_pensamiento,disminucion_del_libido,ideas_suicidas,sentimiento_de_culpa,alogia_pobreza_habla,disnea,alogia_pobreza_contenido,anhedonia_relaciones_familia,comportamiento social inadecuado,anhedonia
Diabetes ,dificultades en teoría de la mente,hipoexpresividad emocional,alogia_bloqueos_pensamiento,tristeza,disnea,atencion_deterioro,alogia_pobreza_contenido,contacto_visual_bajo,abulia_trabajo_estudio,ideas_suicidas,control_pensamiento,alogia_bloqueos_pensamiento,temblores,dificultades en teoría de la mente,preocupacion,expresion_facial_reducida,anhedonia_relaciones_amigos
Diabetes ,sentimiento_de_culpa,memoria_deterioro,taquicardia,eco del pensamiento,gesticulacion_reducida,abulia,atencion_deterioro,disminucion_del_libido,comportamiento motor desorganizado,control_pensamiento,paranoia intensa,memoria_deterioro,irritabilidad,abulia_trabajo_estudio,hipoexpresividad emocional,catatonía,comportamiento motor desorganizado
Diabetes ,expresion_facial_reducida,sudoracion,anhedonia_relaciones_familia,disnea,catatonía,alogia,gesticulacion_reducida,abulia_higiene,comportamiento social inadecuado,catatonía,desorganización del pensamiento,anhedonia,abulia_higiene,pensamientos_intrusivos,irritabilidad,anhedonia_relaciones_familia,pensamientos_intrusivos
Diabetes ,anhedonia_relaciones_familia,temblores,cambios_en_el_apetito,atencion_deterioro,gesticulacion_reducida,disnea,catatonía,dificultades en teoría de la mente,sentimiento_de_culpa,irritabilidad,desorganización del pensamiento,hipoexpresividad emocional,sueño_o_fatiga,comportamiento social inadecuado,anhedonia_relaciones_amigos,lenguaje desorganizado,atencion_deterioro
Diabetes ,disnea,disnea,disnea,eco del pensamiento,taquicardia,atencion_deterioro,abulia_trabajo_estudio,disnea,cambios_en_el_apetito,ideas_delirantes,afectividad_inapropiada,anhedonia_intereses_sexuales,comportamiento motor desorganizado,anhedonia_sociabilidad,catatonía,abulia_higiene,anhedonia
